万得代码,交易所代码,自然日,时间,委托编号,交易所委托号,委托类型,委托代码,委托价格,委托数量,
600519.SH,600519,20260918,91502120,0,12518,A,S,13050000,100,
600519.SH,600519,20260918,91502120,0,13550,A,B,12570000,100,
600519.SH,600519,20260918,91502120,0,13860,A,S,12800000,100,
600519.SH,600519,20260918,91502220,0,14546,A,B,12500000,100,
600519.SH,600519,20260918,91502220,0,14897,A,S,12880000,100,
600519.SH,600519,20260918,91502220,0,15314,A,B,12480000,100,
600519.SH,600519,20260918,91502350,0,15889,A,B,12230000,100,
600519.SH,600519,20260918,91502350,0,16294,A,B,12520200,100,
600519.SH,600519,20260918,91502350,0,16539,A,S,12990000,100,
600519.SH,600519,20260918,91502350,0,16742,A,B,12400000,100,
600519.SH,600519,20260918,91502350,0,16764,A,S,12995700,100,
600519.SH,600519,20260918,91502350,0,16773,A,S,13195700,100,
600519.SH,600519,20260918,91502350,0,16992,A,B,12350000,100,
600519.SH,600519,20260918,91502350,0,16996,A,S,13036800,100,
600519.SH,600519,20260918,91502430,0,17502,A,S,12870000,600,
600519.SH,600519,20260918,91502430,0,17978,A,B,12500100,100,
600519.SH,600519,20260918,91502430,0,18219,A,S,13436900,100,
600519.SH,600519,20260918,91502430,0,18705,A,S,13800000,100,
600519.SH,600519,20260918,91502430,0,18750,A,S,13600000,100,
600519.SH,600519,20260918,91502430,0,18799,A,S,13936800,100,
600519.SH,600519,20260918,91502550,0,19634,A,B,12500000,40000,
600519.SH,600519,20260918,91502550,0,19875,A,B,12200000,100,
600519.SH,600519,20260918,91502550,0,19948,A,S,13300000,100,
600519.SH,600519,20260918,91502550,0,20315,A,S,12750000,100,
600519.SH,600519,20260918,91502550,0,20338,A,S,12760000,100,
600519.SH,600519,20260918,91502550,0,20341,A,S,12754400,100,
600519.SH,600519,20260918,91502550,0,20355,A,S,12770000,100,
600519.SH,600519,20260918,91502550,0,20373,A,S,12780000,200,
600519.SH,600519,20260918,91502550,0,20407,A,S,12790000,200,
600519.SH,600519,20260918,91502550,0,20410,A,S,12800000,300,
600519.SH,600519,20260918,91502550,0,20429,A,B,12560800,100,
600519.SH,600519,20260918,91502550,0,20502,A,S,13669900,200,
600519.SH,600519,20260918,91502550,0,20971,A,B,11440000,100,
600519.SH,600519,20260918,91502550,0,21146,A,B,12500000,100,
600519.SH,600519,20260918,91502550,0,21259,A,B,12000000,100,
600519.SH,600519,20260918,91502670,0,21427,A,S,12750000,100,
600519.SH,600519,20260918,91502670,0,21451,A,S,12794800,100,
600519.SH,600519,20260918,91502670,0,21454,A,S,12760800,100,
600519.SH,600519,20260918,91502670,0,21465,A,B,11910000,100,
600519.SH,600519,20260918,91502670,0,21489,A,S,12770800,100,
600519.SH,600519,20260918,91502670,0,21529,A,S,12780600,100,
600519.SH,600519,20260918,91502670,0,21774,A,S,12790800,100,
600519.SH,600519,20260918,91502670,0,21866,A,S,12800600,100,
600519.SH,600519,20260918,91502670,0,22010,A,B,12560900,100,
600519.SH,600519,20260918,91502670,0,22123,A,B,12670000,100,
600519.SH,600519,20260918,91502670,0,22179,A,S,13930000,100,
600519.SH,600519,20260918,91502670,0,22391,A,S,12988800,100,
600519.SH,600519,20260918,91502800,0,23803,A,B,12500100,100,
600519.SH,600519,20260918,91502800,0,25136,A,B,12540000,100,
600519.SH,600519,20260918,91502800,0,25148,A,S,12770000,100,
600519.SH,600519,20260918,91502800,0,25169,A,B,12450000,100,
600519.SH,600519,20260918,91502800,0,25170,A,S,12890000,100,
600519.SH,600519,20260918,91502950,0,25589,A,S,12840000,100,
600519.SH,600519,20260918,91502950,0,26018,A,S,12990000,100,
600519.SH,600519,20260918,91502950,0,26128,A,S,12899800,100,
600519.SH,600519,20260918,91502950,0,26565,A,S,12769900,100,
600519.SH,600519,20260918,91502950,0,26749,A,S,12899900,100,
