pool_rank,code,name,bottom_percentile,range_60d_pct,mean_abs_return_20d_pct,mean_turnover_20d_pct,recent_volume_ratio,event_volume_ratio,outstanding_share,event_open,event_high,event_low,event_close,event_volume,event_amount,previous_close,event_gain_pct,limit_up_rate_pct,limit_up_price,hit_limit_up,is_st,passes_dormant_filter,dormancy_score
1134,688779.SH,五矿新能,0.2739938080495355,38.980509745127435,1.2767752169872948,1.405605466193425,0.8743325192212053,0.7619860671160833,1929219984.0,7.96,8.0,7.73,7.81,20662945.0,161262351.0,8.03,-2.73972602739726,20.0,9.64,False,False,True,64.56622773044153
1135,300266.SZ,兴源环境,0.21379310344827587,33.12883435582823,1.8240431646960773,1.289321166246599,0.9258013360847157,0.8195386405916845,1553051914.0,1.94,1.96,1.89,1.92,16410300.0,31457831.0,1.94,-1.0309278350515427,20.0,2.33,False,False,True,64.54686289697909
1136,001299.SZ,美能能源,0.3036912751677854,33.25635103926097,1.7163261528239075,1.348648390456759,0.6360565817932529,4.293010828686409,282337678.0,10.02,11.07,10.02,10.33,16346680.0,170508868.0,10.13,1.9743336623889274,10.0,11.14,False,False,True,64.498450813323
1137,002016.SZ,世荣兆业,0.26204819277108427,29.61038961038962,1.6873638127705686,1.3147882684404306,0.9759715270004954,0.9323560265255312,809095632.0,4.71,4.71,4.59,4.67,9918305.0,46044146.0,4.72,-1.0593220338983023,10.0,5.19,False,False,True,64.42873741285824
1138,603755.SH,日辰股份,0.2486873508353222,36.32714500752636,1.7560480727798489,1.0096315135016554,0.8491554797441365,2.3077738946047286,98613681.0,25.0,25.57,24.51,24.9,2297700.0,57592231.0,25.14,-0.9546539379475028,10.0,27.65,False,False,True,64.40549961270334
1139,002567.SZ,唐人神,0.3807106598984772,24.92012779552717,1.4015910707512225,1.4222903430100016,1.018811047654624,0.9586346379948104,1431666421.0,3.88,3.88,3.79,3.8,19520153.0,74582414.0,3.88,-2.0618556701030966,10.0,4.27,False,False,True,64.39581719597211
1140,002930.SZ,宏川智慧,0.2056277056277056,38.74345549738221,1.602221801596715,1.8489949913734622,0.6990679068405808,1.7167508487620382,433418021.0,9.54,9.9,9.47,9.69,13757831.0,133819197.0,9.54,1.572327044025168,10.0,10.49,False,False,True,64.38807126258715
1141,301330.SZ,熵基科技,0.17941585535465923,39.79836773883822,1.5587435819674234,1.4255415481594778,0.968772217627771,1.1209486267535784,204668620.0,25.62,25.95,25.42,25.74,3211868.0,82410745.0,25.99,-0.9619084263178146,20.0,31.19,False,False,True,64.37451587916344
1142,300896.SZ,爱美客,0.08975136446331108,35.649327028010205,1.5886097272290898,1.900260217189172,1.3028623948724447,0.4867604867302473,221012302.00000003,92.51,92.94,91.16,91.8,2044301.0,190078603.0,92.83,-1.1095551007217486,20.0,111.4,False,False,True,64.33965917893107
1143,002482.SZ,广田集团,0.20754716981132088,29.824561403508774,1.7580830655635178,1.5192793238088864,1.0415044314113735,0.7919664561302067,3743709801.0,1.36,1.36,1.32,1.32,45045000.0,60049015.0,1.36,-2.941176470588236,10.0,1.5,False,False,True,64.32610379550736
1144,600867.SH,通化东宝,0.33653846153846184,23.18435754189945,1.5083670376694545,1.6627096516764466,1.0060556228304192,0.49512541357955203,1958542829.0,8.2,8.21,8.06,8.08,16123700.0,130678817.0,8.21,-1.5834348355663885,10.0,9.03,False,False,True,64.26800929512005
1145,300879.SZ,大叶股份,0.12832369942196536,38.76525484565685,1.7319303549122498,1.7164264980048947,0.9141929249980162,0.76133771180284,201028448.0,17.01,17.39,16.82,17.36,2627000.0,45036543.0,17.26,0.5793742757821407,20.0,20.71,False,False,True,64.23896204492641
1146,300523.SZ,辰安科技,0.31176875430144535,31.4792899408284,1.644746615128296,1.0314367804268114,0.9130169366407537,1.6207159357747378,232630438.0,21.8,21.8,20.71,20.79,3888804.0,81375249.0,21.43,-2.9864675688287434,20.0,25.72,False,False,True,64.22347017815648
