pool_rank,code,name,bottom_percentile,range_60d_pct,mean_abs_return_20d_pct,mean_turnover_20d_pct,recent_volume_ratio,event_volume_ratio,outstanding_share,event_open,event_high,event_low,event_close,event_volume,event_amount,event_gain_pct,limit_up_rate_pct,limit_up_price,hit_limit_up,is_st,passes_dormant_filter,dormancy_score
1216,000702.SZ,正虹科技,0.3297872340425533,32.079646017699126,1.3121759680545348,1.9350643156658958,0.8444101015610795,1.1619265276361095,346624948.0,5.73,5.96,5.73,5.91,7554601.0,44533085.0,2.604166666666674,10.0,6.34,False,False,True,62.82920216886134
1217,688050.SH,爱博医疗,0.10183639398998334,27.618506954300326,2.1358936577158643,1.9167712287367251,1.4027251448404126,0.50008106649115,193437735.0,40.25,40.73,39.96,40.46,1854180.0,74968046.0,0.8726003490401535,20.0,48.13,False,False,True,62.80402788536018
1218,600426.SH,华鲁恒升,0.23629489603024573,28.757062146892665,1.6473131100991396,1.563972986289296,1.1492741341786619,1.4889255140023505,2749579013.0000005,21.43,22.47,21.31,21.67,64027777.0,1402265426.0,1.0256410256410442,10.0,23.6,False,False,True,62.79434546862896
1219,000607.SZ,华媒控股,0.3185185185185185,29.629629629629626,1.4339024925043866,1.4970620176818976,1.0342295949611442,1.5751819601184218,885062168.0,3.81,3.97,3.8,3.93,20871050.0,81230492.0,2.6109660574412663,10.0,4.21,False,False,True,62.740123934934154
1220,300579.SZ,数字认证,0.19433399602385687,26.264189886480914,1.6475995955476137,1.973395329168522,1.4124016733940317,1.3339126272807844,262800019.0,23.28,24.0,23.1,23.67,6917782.0,163991695.0,1.63160154572779,20.0,27.95,False,False,True,62.64717273431448
1221,300960.SZ,通业科技,0.22771672771672777,37.125748502994014,1.509178654541361,1.322328913188534,1.0678394158747226,0.9800596575994385,131579400.0,17.09,17.24,16.92,17.08,1705218.0,29482307.0,-0.05851375073142595,20.0,20.51,False,False,True,62.62393493415958
1222,688489.SH,三未信安,0.2674210839785588,27.794117647058837,1.943407331635451,0.8263804655890642,1.3275081846868197,1.2241811959116273,168277447.0,24.89,25.21,24.39,24.73,1702361.0,42078750.0,-0.6428284451586941,20.0,29.87,False,False,True,62.57939581719597
1223,000402.SZ,金 融 街,0.22807017543859628,25.106382978723406,1.8093142430765963,1.6952552972332053,1.18136735341352,2.0230285897158398,2988667172.0,2.51,2.6,2.5,2.56,102497833.0,262084910.0,-1.9157088122605304,10.0,2.87,False,False,True,62.5
1224,300413.SZ,芒果超媒,0.14428766499772416,23.099203475742215,2.4369579198173765,1.8907642501831203,1.2489346668578198,7.1113329590404435,1021699958.0,20.38,20.38,19.66,20.38,137376286.0,2793793896.0,20.02355712603061,20.0,20.38,True,False,True,62.4903175832688
1225,688696.SH,极米科技,0.20895119978430846,27.3394495412844,2.2067912611627634,1.276824264495853,1.1198136592282333,4.557756774684943,70020000.0,75.69,86.45,75.15,83.3,4074782.0,333028268.0,10.404241219350553,20.0,90.54,False,False,True,62.48257164988381
1226,603307.SH,扬州金泉,0.3427620632279534,29.431438127090303,1.5276322537325098,0.9479062789500727,1.2410845614247883,1.4064694630781203,97150000.0,25.05,25.42,24.81,25.25,1295205.0,32659376.0,0.7984031936127733,10.0,27.56,False,False,True,62.47676219984508
1227,600096.SH,XD云天化,0.3661257606490872,31.096625766871156,1.3164858827327213,1.8997059042095543,0.8273202863530096,1.5386382230628606,1822990731.0,30.98,32.03,30.91,31.73,53285292.0,1700401905.0,1.6335682254964734,10.0,34.34,False,False,True,62.42060418280403
1228,600438.SH,通威股份,0.07286288009179573,38.856589147286826,1.9564021177729043,1.4742513875427692,1.21886514597697,0.5973546845897981,4501990940.0,11.58,11.93,11.5,11.82,39646827.0,463984415.0,1.984469370146691,10.0,12.75,False,False,True,62.40898528272657
1229,603737.SH,三棵树,0.13380022115739032,36.88141923436039,1.8004312120404915,1.252361311204507,1.6276333978891728,1.4886450095226276,885380968.0,24.87,24.9,23.9,24.21,16506347.0,400944912.0,-3.3532934131736525,10.0,27.56,False,False,True,62.34895429899303
1230,603707.SH,健友股份,0.24746450304259646,27.827380952380953,2.055846012394034,0.8919022871659448,1.3250644691789324,2.3186033415451144,1615651020.0000002,7.87,8.38,7.8,8.37,33411140.0,272512711.0,5.415617128463457,10.0,8.73,False,False,True,62.31409759876064
1231,000155.SZ,川能动力,0.2915360501567399,30.879541108986608,1.451095395143922,2.1160198537301054,0.8508421865151864,0.9712675705520482,1846168342.0,12.56,12.66,12.47,12.6,37942848.0,476397660.0,0.31847133757960666,10.0,13.82,False,False,True,62.30441518202944
